City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Srivardhan,18.0333,73.0167,26.769999999999982,42,4,4.09,IN,1674034615
216,Hermanus,-34.4187,19.2345,24.810000000000002,65,55,3.41,ZA,1674034616
217,Odweyne,9.4092,45.064,28.389999999999986,14,31,7.03,SO,1674034617
218,Puerto Baquerizo Moreno,-0.9,-89.6,23.19999999999999,90,66,3.12,EC,1674034618
219,Ola,59.5833,151.2833,-23.25999999999999,88,100,5.94,RU,1674034558
220,Llangefni,53.2556,-4.3106,6.6299999999999955,73,75,9.77,GB,1674034619
221,Samarai,-10.6167,150.6667,27.829999999999984,78,98,3.42,PG,1674034620
222,Paragominas,-2.9667,-47.4833,21.399999999999977,98,100,0.75,BR,1674034621
223,Sambava,-14.2667,50.1667,26.279999999999973,78,100,8.8,MG,1674034622
224,Thompson,55.7435,-97.8558,-9.759999999999991,92,100,1.54,CA,1674034504
225,Tripoli,32.8752,13.1875,19.319999999999993,33,0,8.97,LY,1674034623
226,Coari,-4.085,-63.1414,21.439999999999998,99,100,1.31,BR,1674034624
227,Paamiut,61.994,-49.6678,-5.069999999999993,66,100,2.79,GL,1674034625
228,Merauke,-8.4667,140.3333,27.94999999999999,82,75,4.86,ID,1674034626
229,Tommot,58.9564,126.2925,-52.05000000000001,100,62,0.31,RU,1674034626
230,Baghdad,33.3406,44.4009,16.100000000000023,59,0,7.2,IQ,1674034628
231,Zhezkazgan,47.8043,67.7144,-9.860000000000014,73,0,8.0,KZ,1674034629
232,Comodoro Rivadavia,-45.8667,-67.5,13.069999999999993,100,100,0.0,AR,1674034629
233,Isangel,-19.55,169.2667,24.350000000000023,92,100,3.27,VU,1674034451
234,Manokwari,-0.8667,134.0833,25.579999999999984,85,100,4.82,ID,1674034631
235,Rafaela,-31.2503,-61.4867,25.889999999999986,45,100,3.2,AR,1674034632
236,Vangaindrano,-23.35,47.6,29.24000000000001,58,44,4.21,MG,1674034632
237,Urubicha,-15.3833,-62.95,20.279999999999973,95,100,0.49,BO,1674034633
